"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Growth Habit","Native Status"
"ABELI",NA,"ABELI","Abelia","abelia",NA,"L48(I)"
"ABELM",NA,"ABELM","Abelmoschus","okra",NA,"L48(I)"
"ABES",NA,"ABES","Abelmoschus esculentus","okra","Subshrub, Forb/herb","L48(I)PR(I)VI(I)"
"ABES","HIES","HIES","Hibiscus esculentus",NA,NA,NA
"ABMA9",NA,"ABMA9","Abelmoschus manihot",NA,NA,"L48(I)"
"ABMA9","HIMA9","HIMA9","Hibiscus manihot",NA,NA,NA
"ABMO",NA,"ABMO","Abelmoschus moschatus","musk okra","Subshrub, Shrub","L48(I)HI(I)PR(I)"
"ABMO","HIAB","HIAB","Hibiscus abelmoschus",NA,NA,NA
"ABIES",NA,"ABIES","Abies","fir",NA,"L48(I,N)CAN(N)SPM(N)"
"ABBAB",NA,"ABBAB","Abies balsamea var. balsamea","balsam fir","Tree","L48(N)CAN(N)SPM(N)"
"ABBAB","PIBA3","PIBA3","Pinus balsamea",NA,NA,NA
"ABBR",NA,"ABBR","Abies bracteata","bristlecone fir","Tree","L48(N)"
"ABBR","ABVE","ABVE","Abies venusta",NA,NA,NA
"ABFR",NA,"ABFR","Abies fraseri","Fraser fir","Tree","L48(N)"
"ABFR","PIFR","PIFR","Pinus fraseri",NA,NA,NA
"ABGR",NA,"ABGR","Abies grandis","grand fir","Tree","L48(N)CAN(N)"
"ABGR","ABGRI2","ABGRI2","Abies grandis ssp. idahoensis",NA,NA,NA
"ABLAA",NA,"ABLAA","Abies lasiocarpa var. arizonica","corkbark fir","Tree","L48(N)"
"ABLAA","ABAR2","ABAR2","Abies arizonica",NA,NA,NA
"ABLAL",NA,"ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","Tree","L48(N)AK(N)CAN(N)"
"ABLAL","ABBAL","ABBAL","Abies balsamea ssp. lasiocarpa",NA,NA,NA
"ABLAL","ABBI3","ABBI3","Abies bifolia",NA,NA,NA
"ABLAL","ABLAB","ABLAB","Abies lasiocarpa ssp. bifolia",NA,NA,NA
"ABLAL","ABSU","ABSU","Abies subalpina",NA,NA,NA
"ABMAS",NA,"ABMAS","Abies magnifica var. shastensis","Shasta red fir","Tree","L48(N)"
"ABMAS","ABMAS2","ABMAS2","Abies magnifica ssp. shastensis",NA,NA,NA
"ABPR",NA,"ABPR","Abies procera","noble fir","Tree","L48(N)"
"ABPR","ABNO","ABNO","Abies nobilis",NA,NA,NA
"ABIET",NA,"ABIET","Abietinella","abietenella moss",NA,"NA(N)"
"ABAB70",NA,"ABAB70","Abietinella abietina","abietinella moss","Nonvascular","NA(N)"
"ABAB70","HYAB","HYAB","Hypnum abietinum",NA,NA,NA
"ABAB70","THAB70","THAB70","Thuidium abietinum",NA,NA,NA
"ABILD",NA,"ABILD","Abildgaardia","sedge",NA,"L48(N)"
"ABOV",NA,"ABOV","Abildgaardia ovata","flatspike sedge","Graminoid","L48(N)PR(N)VI(N)"
"ABOV","ABMO4","ABMO4","Abildgaardia monostachya",NA,NA,NA
"ABOV","CYMO10","CYMO10","Cyperus monostachyos",NA,NA,NA
"ABOV","FIMO2","FIMO2","Fimbristylis monostachya",NA,NA,NA
"ABOV","FIOV","FIOV","Fimbristylis ovata",NA,NA,NA
"ABROM",NA,"ABROM","Abroma",NA,NA,NA
"ABRON",NA,"ABRON","Abronia","sand verbena",NA,"L48(N)CAN(N)"
"ABAM3",NA,"ABAM3","Abronia ammophila","Wyoming sand verbena","Forb/herb","L48(N)"
"ABAM3","ABFE","ABFE","Abronia fendleri",NA,NA,NA
"ABAN",NA,"ABAN","Abronia angustifolia","purple sand verbena","Forb/herb","L48(N)"
"ABAN","ABTO","ABTO","Abronia torreyi",NA,NA,NA
"ABEL",NA,"ABEL","Abronia elliptica","fragrant white sand verbena","Forb/herb","L48(N)"
"ABEL","ABPU2","ABPU2","Abronia pumila",NA,NA,NA
"ABEL","ABRA","ABRA","Abronia ramosa",NA,NA,NA
"ABEL","ABSA3","ABSA3","Abronia salsa",NA,NA,NA
"ABNAC",NA,"ABNAC","Abronia nana var. covillei","Coville's dwarf sand verbena","Forb/herb","L48(N)"
"ABNAC","ABNAC2","ABNAC2","Abronia nana ssp. covillei",NA,NA,NA
"ABTU",NA,"ABTU","Abronia turbinata","transmontane sand verbena","Forb/herb","L48(N)"
"ABTU","ABEX","ABEX","Abronia exalata",NA,NA,NA
"ABTU","ABOR2","ABOR2","Abronia orbiculata",NA,NA,NA
"ABUMB",NA,"ABUMB","Abronia umbellata ssp. breviflora","pink sand verbena","Forb/herb, Vine","L48(N)CAN(N)"
"ABUMB","ABAC","ABAC","Abronia acutalata",NA,NA,NA
"ABUMB","ABBR2","ABBR2","Abronia breviflora",NA,NA,NA
"ABUMB","ABUMA2","ABUMA2","Abronia umbellata ssp. acutalata",NA,NA,NA
"ABUMU",NA,"ABUMU","Abronia umbellata ssp. umbellata","pink sand verbena","Forb/herb","L48(N)"
"ABUMU","ABAL2","ABAL2","Abronia alba",NA,NA,NA
"ABUMU","ABPL","ABPL","Abronia platyphylla",NA,NA,NA
"ABUMU","ABUMA4","ABUMA4","Abronia umbellata ssp. alba",NA,NA,NA
"ABUMU","ABUMP","ABUMP","Abronia umbellata ssp. platyphylla",NA,NA,NA
"ABUMU","ABUMV","ABUMV","Abronia umbellata ssp. variabilis",NA,NA,NA
"ABUMU","ABVA","ABVA","Abronia variabilis",NA,NA,NA
"ABVIA",NA,"ABVIA","Abronia villosa var. aurita","desert sand verbena","Forb/herb","L48(N)"
"ABVIA","ABPI2","ABPI2","Abronia pinetorum",NA,NA,NA
"ABROT",NA,"ABROT","Abrothallus","abrothallus lichen",NA,"NA(N)"
"ABBE2",NA,"ABBE2","Abrothallus bertianus",NA,"Lichenous","NA(N)"
"ABBR3",NA,"ABBR3","Abrothallus bryoriarum",NA,"Lichenous","NA(N)"
"ABCE",NA,"ABCE","Abrothallus cetrariae",NA,"Lichenous","NA(N)"
"ABCL",NA,"ABCL","Abrothallus cladoniae",NA,"Lichenous","NA(N)"
"ABPA5",NA,"ABPA5","Abrothallus parmeliarum","parmelia abrothallus lichen","Lichenous","NA(N)"
"ABPA5","BUPA8","BUPA8","Buelliella parmeliarum",NA,NA,NA
"ABPE2",NA,"ABPE2","Abrothallus peyritschii",NA,"Lichenous","NA(N)"
"ABPR5",NA,"ABPR5","Abrothallus prodiens",NA,"Lichenous","NA(N)"
"ABWE",NA,"ABWE","Abrothallus welwitschii",NA,"Lichenous","NA(N)"
"ABRUS",NA,"ABRUS","Abrus","abrus",NA,"L48(I)"
"ABPR3",NA,"ABPR3","Abrus precatorius","rosarypea","Vine","L48(I)HI(I)PR(I)VI(I)"
"ABPR3","ABAB2","ABAB2","Abrus abrus",NA,NA,NA
"ABSCO",NA,"ABSCO","Absconditella","absconditella lichen",NA,"NA(N)"
"ABSP",NA,"ABSP","Absconditella sphagnorum","sphagnum absonditella lichen","Lichenous","NA(N)"
"ABTR3",NA,"ABTR3","Absconditella trivialis","trivial absconditella lichen","Lichenous","NA(N)"
"ABUTI",NA,"ABUTI","Abutilon","Indian mallow",NA,"L48(I,N)CAN(I)"
"ABAB",NA,"ABAB","Abutilon abutiloides","shrubby Indian mallow","Subshrub, Forb/herb","L48(N)PR(N)VI(I)"
"ABAB","ABAM5","ABAM5","Abutilon americanum",NA,NA,NA
"ABAB","ABJA","ABJA","Abutilon jacquinii",NA,NA,NA
"ABAB","ABLI","ABLI","Abutilon lignosum",NA,NA,NA
"ABBE",NA,"ABBE","Abutilon berlandieri","Berlandier's Indian mallow","Shrub","L48(N)"
"ABBE","ABCA2","ABCA2","Abutilon californicum",NA,NA,NA
"ABFR3",NA,"ABFR3","Abutilon fruticosum","Texas Indian mallow","Subshrub","L48(N)"
"ABFR3","ABTE","ABTE","Abutilon texense",NA,NA,NA
"ABHU",NA,"ABHU","Abutilon hulseanum","mauve","Subshrub, Forb/herb","L48(N)PR(N)"
"ABHU","ABCO2","ABCO2","Abutilon commutatum",NA,NA,NA
"ABHU","ABPA4","ABPA4","Abutilon pauciflorum",NA,NA,NA
"ABIN",NA,"ABIN","Abutilon incanum","pelotazo","Subshrub, Forb/herb","L48(N)HI(N)"
"ABIN","ABINI","ABINI","Abutilon incanum ssp. incanum",NA,NA,NA
"ABIN","ABINP","ABINP","Abutilon incanum ssp. pringlei",NA,NA,NA
"ABIN","ABPR4","ABPR4","Abutilon pringlei",NA,NA,NA
"ABINA",NA,"ABINA","Abutilon indicum ssp. albescens",NA,"Subshrub","L48(N)"
"ABMO2",NA,"ABMO2","Abutilon mollicomum","Sonoran Indian mallow","Shrub, Forb/herb, Subshrub","L48(N)"
"ABMO2","ABSO","ABSO","Abutilon sonorae",NA,NA,NA
"ABSA2",NA,"ABSA2","Abutilon sandwicense","greenflower Indian mallow","Shrub","HI(N)"
"ABSA2","ABSA4","ABSA4","Abortopetalum sandwicense",NA,NA,NA
"ABTH",NA,"ABTH","Abutilon theophrasti","velvetleaf","Forb/herb","L48(I)CAN(I)"
"ABTH","ABAB3","ABAB3","Abutilon abutilon",NA,NA,NA
"ABTH","ABAV","ABAV","Abutilon avicennae",NA,NA,NA
"ABTR",NA,"ABTR","Abutilon trisulcatum","anglestem Indian mallow","Shrub, Subshrub","L48(N)"
"ABTR","ABTR2","ABTR2","Abutilon triquetrum",NA,NA,NA
"ACACI",NA,"ACACI","Acacia","acacia",NA,"L48(I)"
"ACAB2",NA,"ACAB2","Acacia abyssinica",NA,NA,NA
"ACABC2",NA,"ACABC2","Acacia abyssinica ssp. calophylla",NA,NA,NA
"ACAC7",NA,"ACAC7","Acacia acinacea","gold-dust acacia",NA,NA
"ACAC7","ACCY3","ACCY3","Acacia cyclophylla",NA,NA,NA
"ACAD",NA,"ACAD","Acacia adunca","Wallangarra wattle",NA,NA
"ACAD","ACAC6","ACAC6","Acacia accola",NA,NA,NA
"ACAN4",NA,"ACAN4","Acacia anegadensis","blackbrush wattle","Tree",NA
"ACAN",NA,"ACAN","Acacia angustissima","prairie acacia","Subshrub, Forb/herb","L48(N)"
"ACAR12",NA,"ACAR12","Acacia arenaria",NA,NA,NA
"ACBE",NA,"ACBE","Acacia berlandieri","guajillo","Tree, Shrub","L48(N)"
"ACCA21",NA,"ACCA21","Acacia catechu","black cutch",NA,NA
"ACCA35",NA,"ACCA35","Acacia caven","Roman-cassie",NA,NA
"ACCH8",NA,"ACCH8","Acacia chinchillensis","Chinchilla wattle",NA,NA
"ACCH8","ACCH7","ACCH7","Acacia chinchellensis",NA,NA,NA
"ACCH",NA,"ACCH","Acacia choriophylla","cinnecord","Tree, Shrub","L48(N)"
"ACCI6",NA,"ACCI6","Acacia cibaria","turpentine mulga",NA,NA
"ACCI6","ACBR4","ACBR4","Acacia brachystachya",NA,NA,NA
"ACCO24",NA,"ACCO24","Acacia collinsii","bull horn acacia",NA,NA
"ACCO2",NA,"ACCO2","Acacia constricta","whitethorn acacia","Tree, Shrub","L48(N)"
"ACCO5",NA,"ACCO5","Acacia cornigera","bullhorn wattle","Tree, Shrub","L48(I)"
"ACDA5",NA,"ACDA5","Acacia davyi",NA,NA,NA
"ACDEP2",NA,"ACDEP2","Acacia deanei ssp. paucijuga",NA,NA,NA
"ACDEP2","ACPA10","ACPA10","Acacia paucijuga",NA,NA,NA
"ACDE",NA,"ACDE","Acacia decurrens","green wattle","Tree","L48(I)"
"ACDE","MIDE17","MIDE17","Mimosa decurrens",NA,NA,NA
"ACEB2",NA,"ACEB2","Acacia eburnea",NA,NA,NA
"ACER5",NA,"ACER5","Acacia erubescens",NA,NA,NA
"ACFA",NA,"ACFA","Acacia farnesiana","sweet acacia","Tree, Shrub","L48(N)HI(I)PR(N)VI(N)"
"ACGA3",NA,"ACGA3","Acacia galpinii",NA,NA,NA
"ACGE8",NA,"ACGE8","Acacia genistifolia","early wattle",NA,NA
"ACGE8","ACDI9","ACDI9","Acacia diffusa",NA,NA,NA
"ACGE7",NA,"ACGE7","Acacia gerrardii",NA,NA,NA
"ACGL4",NA,"ACGL4","Acacia glauca","acacia",NA,NA
"ACGO2",NA,"ACGO2","Acacia goetzei",NA,NA,NA
"ACGR",NA,"ACGR","Acacia greggii","catclaw acacia","Tree, Shrub","L48(N)"
"ACHE8",NA,"ACHE8","Acacia hebeclada",NA,NA,NA
"ACHE12",NA,"ACHE12","Acacia hemiteles",NA,NA,NA
"ACHE12","ACGR10","ACGR10","Acacia graffiana",NA,NA,NA
"ACHO4",NA,"ACHO4","Acacia horrida",NA,NA,NA
"ACKA2",NA,"ACKA2","Acacia karroo","karroothorn",NA,NA
"ACKO",NA,"ACKO","Acacia koa","koa","Tree","HI(N)"
"ACKO","ACKA","ACKA","Acacia kauaiensis",NA,NA,NA
"ACLA10",NA,"ACLA10","Acacia lanuginophylla",NA,NA,NA
"ACLA10","ACLA11","ACLA11","Acacia lanuginosa",NA,NA,NA
"ACLO",NA,"ACLO","Acacia longifolia","Sydney golden wattle","Tree, Shrub","L48(I)"
"ACLO","ACLA","ACLA","Acacia latifolia",NA,NA,NA
"ACLOS3",NA,"ACLOS3","Acacia longifolia ssp. sophorae",NA,NA,NA
"ACLO8",NA,"ACLO8","Acacia longissima",NA,NA,NA
"ACLO8","ACLI4","ACLI4","Acacia linearis",NA,NA,NA
"ACMA",NA,"ACMA","Acacia macracantha","porknut","Tree","L48(N)PR(N)VI(N)"
"ACME8",NA,"ACME8","Acacia mellifera",NA,NA,NA
"ACMED",NA,"ACMED","Acacia mellifera ssp. detinens",NA,NA,NA
"ACMI",NA,"ACMI","Acacia millefolia","milfoil wattle","Tree, Shrub","L48(N)"
"ACMU",NA,"ACMU","Acacia muricata","spineless wattle","Tree","PR(N)VI(N)"
"ACNE4",NA,"ACNE4","Acacia neovernicosa","viscid acacia","Shrub","L48(N)"
"ACNI8",NA,"ACNI8","Acacia nigrescens","knobthorn",NA,NA
"ACNI2",NA,"ACNI2","Acacia nilotica","gum arabic tree","Tree, Shrub","PR(I)VI(I)"
"ACNIA3",NA,"ACNIA3","Acacia nilotica ssp. adstringens",NA,NA,NA
"ACNIK2",NA,"ACNIK2","Acacia nilotica ssp. kraussiana",NA,NA,NA
"ACOM",NA,"ACOM","Acacia omalophylla","yarran",NA,NA
"ACOM","ACHO3","ACHO3","Acacia homalophylla",NA,NA,NA
"ACPA15",NA,"ACPA15","Acacia pachyceras",NA,NA,NA
"ACPA16",NA,"ACPA16","Acacia papyrocarpa",NA,NA,NA
"ACPA16","ACSO3","ACSO3","Acacia sowdenii",NA,NA,NA
"ACPA8",NA,"ACPA8","Acacia paradoxa","paradox acacia","Shrub","L48(I)"
"ACPA8","ACAR15","ACAR15","Acacia armata",NA,NA,NA
"ACPE9",NA,"ACPE9","Acacia pennatula","fern-leaf acacia",NA,NA
"ACPE11",NA,"ACPE11","Acacia pentagona",NA,NA,NA
"ACPI",NA,"ACPI","Acacia pinetorum","pineland wattle","Tree, Shrub","L48(N)"
"ACPO3",NA,"ACPO3","Acacia polyacantha","catechu tree","Tree, Shrub","PR(I)VI(I)"
"ACPOC2",NA,"ACPOC2","Acacia polyacantha ssp. campylacantha",NA,NA,NA
"ACRE8",NA,"ACRE8","Acacia rehmanniana","acacia",NA,NA
"ACRE4",NA,"ACRE4","Acacia retusa","catch and keep","Tree, Shrub, Vine","PR(N)VI(N)"
"ACRI",NA,"ACRI","Acacia rigidula","blackbrush acacia","Tree, Shrub","L48(N)"
"ACRO5",NA,"ACRO5","Acacia robusta",NA,NA,NA
"ACRO",NA,"ACRO","Acacia roemeriana","roundflower catclaw","Tree, Shrub","L48(N)"
"ACSA",NA,"ACSA","Acacia saligna","orange wattle","Tree, Shrub","L48(I)"
"ACSA","ACCY","ACCY","Acacia cyanophylla",NA,NA,NA
"ACSC2",NA,"ACSC2","Acacia schaffneri","Schaffner's wattle","Shrub",NA
"ACSC",NA,"ACSC","Acacia schottii","Schott's wattle","Shrub","L48(N)"
"ACSC9",NA,"ACSC9","Acacia schweinfurthii",NA,NA,NA
"ACSC12",NA,"ACSC12","Acacia scleroxyla",NA,NA,NA
"ACSE6",NA,"ACSE6","Acacia senegal","gum arabic",NA,NA
"ACSE7",NA,"ACSE7","Acacia seyal","talh",NA,NA
"ACSI7",NA,"ACSI7","Acacia sieberiana",NA,NA,NA
"ACSP4",NA,"ACSP4","Acacia sphaerocephala","bee wattle","Tree","L48(I)"
"ACST8",NA,"ACST8","Acacia stowardii","bastard mulga",NA,NA
"ACST8","ACCL2","ACCL2","Acacia clivicola",NA,NA,NA
"ACSU11",NA,"ACSU11","Acacia sublanata",NA,NA,NA
"ACSU11","ACLU2","ACLU2","Acacia luehmannii",NA,NA,NA
"ACSW2",NA,"ACSW2","Acacia swazica",NA,NA,NA
"ACTO6",NA,"ACTO6","Acacia tortilis","umbrella thorn",NA,NA
"ACTOH2",NA,"ACTOH2","Acacia tortilis ssp. heteracantha",NA,NA,NA
"ACTOS2",NA,"ACTOS2","Acacia tortilis ssp. spirocarpa",NA,NA,NA
"ACTO",NA,"ACTO","Acacia tortuosa","poponax","Tree, Shrub","L48(N)PR(N)VI(N)"
"ACUL2",NA,"ACUL2","Acacia ulicifolia","juniper wattle",NA,NA
"ACUL2","ACJU2","ACJU2","Acacia juniperina",NA,NA,NA
"ACVI7",NA,"ACVI7","Acacia victoriae","bramble acacia",NA,NA
"ACVI7","ACSE9","ACSE9","Acacia sentis",NA,NA,NA
"ACVI10",NA,"ACVI10","Acacia visco",NA,NA,NA
"ACVO",NA,"ACVO","Acacia vogeliana","macata bourse bastard","Shrub, Tree, Vine","PR(N)VI(N)"
"ACWI2",NA,"ACWI2","Acacia willardiana",NA,NA,NA
"ACXA3",NA,"ACXA3","Acacia xanthophloea","fevertree",NA,NA
"ACACI2",NA,"ACACI2","Acaciella",NA,NA,"L48(N)"
"ACAEN",NA,"ACAEN","Acaena","acaena",NA,"L48(I,N)"
"ACNO7",NA,"ACNO7","Acaena novae-zelandiae","biddy-biddy","Forb/herb","L48(I)"
"ACNO7","ACAN3","ACAN3","Acaena anserinifolia",NA,NA,NA
"ACNO7","ACNO4","ACNO4","Acaena novae-zelandica",NA,NA,NA
"ACNO7","ACSA4","ACSA4","Acaena sanguisorbae",NA,NA,NA
"ACPIC2",NA,"ACPIC2","Acaena pinnatifida var. californica","California biddy-biddy","Forb/herb","L48(N)"
"ACPIC2","ACCA2","ACCA2","Acaena californica",NA,NA,NA
"ACALY",NA,"ACALY","Acalypha","copperleaf",NA,"L48(I,N)CAN(N)"
"ACAL2",NA,"ACAL2","Acalypha alopecuroidea","foxtail copperleaf","Forb/herb","L48(I)PR(N)"
"ACAL2","ACAR17","ACAR17","Acalypha aristata",NA,NA,NA
"ACAMW",NA,"ACAMW","Acalypha amentacea ssp. wilkesiana","Wilkes' acalypha","Shrub","L48(I)PR(I)"
"ACAR16",NA,"ACAR16","Acalypha arvensis","field copperleaf","Forb/herb","L48(I)"
"ACAR16","ACAR19","ACAR19","Acalypha aristata",NA,NA,NA
"ACCA3",NA,"ACCA3","Acalypha californica","California copperleaf","Shrub, Subshrub","L48(N)"
"ACCA3","ACPR","ACPR","Acalypha pringlei",NA,NA,NA
"ACMO4",NA,"ACMO4","Acalypha monococca","slender threeseed mercury","Forb/herb","L48(N)"
"ACMO4","ACGRM2","ACGRM2","Acalypha gracilens ssp. monococca",NA,NA,NA
"ACMO",NA,"ACMO","Acalypha monostachya","round copperleaf","Subshrub, Forb/herb","L48(N)"
"ACMO","ACHE","ACHE","Acalypha hederacea",NA,NA,NA
"ACOS",NA,"ACOS","Acalypha ostryifolia","pineland threeseed mercury","Forb/herb","L48(N)PR(N)VI(N)"
"ACOS","ACCA8","ACCA8","Acalypha caroliniana",NA,NA,NA
"ACPH3",NA,"ACPH3","Acalypha phleoides","shrubby copperleaf","Forb/herb, Subshrub","L48(N)"
"ACPH3","ACLI","ACLI","Acalypha lindheimeri",NA,NA,NA
"ACPO",NA,"ACPO","Acalypha poiretii","Poiret's copperleaf","Forb/herb, Subshrub","L48(N)PR(I)VI(I)"
"ACPO","ACIN","ACIN","Acalypha indica",NA,NA,NA
"ACAMP",NA,"ACAMP","Acamptopappus","goldenhead",NA,"L48(N)"
"ACSPS2",NA,"ACSPS2","Acamptopappus sphaerocephalus var. sphaerocephalus","rayless goldenhead","Subshrub, Shrub","L48(N)"
"ACSPS2","APSP2","APSP2","Aplopappus sphaerocephalus",NA,NA,NA
"ACANT6",NA,"ACANT6","Acanthocereus","triangle cactus",NA,"L48(N)"
"ACTE4",NA,"ACTE4","Acanthocereus tetragonus","triangle cactus","Shrub, Vine","L48(N)HI(I)VI(N)"
"ACTE4","ACFL3","ACFL3","Acanthocereus floridanus",NA,NA,NA
"ACTE4","ACPE5","ACPE5","Acanthocereus pentagonus",NA,NA,NA
"ACTE4","CATE30","CATE30","Cactus tetragonus",NA,NA,NA
"ACTE4","CEPE4","CEPE4","Cereus pentagonus",NA,NA,NA
"ACANT2",NA,"ACANT2","Acanthomintha","thorn-mint",NA,"L48(N)"
"ACDU2",NA,"ACDU2","Acanthomintha duttonii","San Mateo thorn-mint","Forb/herb","L48(N)"
"ACDU2","ACOBD","ACOBD","Acanthomintha obovata ssp. duttonii",NA,NA,NA
"ACOBC",NA,"ACOBC","Acanthomintha obovata ssp. cordata","heartleaf thorn-mint","Forb/herb","L48(N)"
"ACOBO",NA,"ACOBO","Acanthomintha obovata ssp. obovata","San Benito thorn-mint","Forb/herb","L48(N)"
"ACANT3",NA,"ACANT3","Acanthospermum","starbur",NA,"L48(I)CAN(I)"
"ACAU2",NA,"ACAU2","Acanthospermum australe","Paraguayan starbur","Forb/herb","L48(I)HI(I)"
"ACAU2","ACXA","ACXA","Acanthospermum xanthioides",NA,NA,NA
"ACAU2","MEAU","MEAU","Melampodium australe",NA,NA,NA
"ACHU",NA,"ACHU","Acanthospermum humile","low starbur","Forb/herb","L48(I)"
"ACHU","MEHU5","MEHU5","Melampodium humile",NA,NA,NA
"ACANT7",NA,"ACANT7","Acanthus","acanthus",NA,"L48(I)"
"ACPOP",NA,"ACPOP","Acanthus polystachyus var. pseudopubescens",NA,NA,NA
"ACPOP","ACPU4","ACPU4","Acanthus pubescens",NA,NA,NA
"ACARO2",NA,"ACARO2","Acarospora","cracked lichen",NA,"NA(N)"
"ACAE",NA,"ACAE","Acarospora aeruginosa","cracked lichen","Lichenous","NA(N)"
"ACAL13",NA,"ACAL13","Acarospora albomarginata","cracked lichen","Lichenous","NA(N)"
"ACAL13","THAL6","THAL6","Thelocarpon albomarginatum",NA,NA,NA
"ACAM5",NA,"ACAM5","Acarospora americana","American cracked lichen","Lichenous","NA(N)"
"ACAM7",NA,"ACAM7","Acarospora amphibola",NA,"Lichenous","NA(N)"
"ACAP",NA,"ACAP","Acarospora applanata","cracked lichen","Lichenous","NA(N)"
"ACAR8",NA,"ACAR8","Acarospora arenacea","cracked lichen","Lichenous","NA(N)"
"ACAR9",NA,"ACAR9","Acarospora arenosa","cracked lichen","Lichenous","NA(N)"
"ACAS3",NA,"ACAS3","Acarospora asahinae","Asahina's cracked lichen","Lichenous","NA(N)"
"ACAS4",NA,"ACAS4","Acarospora asperata","cracked lichen","Lichenous","NA(N)"
"ACBA4",NA,"ACBA4","Acarospora badiofusca","cracked lichen","Lichenous","NA(N)"
"ACBA4","ACBO2","ACBO2","Acarospora boulderensis",NA,NA,NA
"ACBU2",NA,"ACBU2","Acarospora bullata","cracked lichen","Lichenous","NA(N)"
"ACCA14",NA,"ACCA14","Acarospora caesiofusca","cracked lichen","Lichenous","NA(N)"
"ACCA15",NA,"ACCA15","Acarospora californica","California cracked lichen","Lichenous","NA(N)"
"ACCA16",NA,"ACCA16","Acarospora canadensis","Canada cracked lichen","Lichenous","NA(N)"
"ACCA17",NA,"ACCA17","Acarospora carnegiei","Carnegie's cracked lichen","Lichenous","NA(N)"
"ACCE",NA,"ACCE","Acarospora cervina","cracked lichen","Lichenous","NA(N)"
"ACCI2",NA,"ACCI2","Acarospora cinereoalba","cracked lichen","Lichenous","NA(N)"
"ACCI4",NA,"ACCI4","Acarospora citrina",NA,"Lichenous","NA(N)"
"ACCL6",NA,"ACCL6","Acarospora clauzadeana",NA,"Lichenous","NA(N)"
"ACCL6","BICL2","BICL2","Biatorella clauzadeana",NA,NA,NA
"ACCO10",NA,"ACCO10","Acarospora coloradiana","Colorado cracked lichen","Lichenous","NA(N)"
"ACCO11",NA,"ACCO11","Acarospora complanata","cracked lichen","Lichenous","NA(N)"
"ACCO11","ACOB6","ACOB6","Acarospora obscura",NA,NA,NA
"ACDE9",NA,"ACDE9","Acarospora desolata","cracked lichen","Lichenous","NA(N)"
"ACDI4",NA,"ACDI4","Acarospora dispersa","cracked lichen","Lichenous","NA(N)"
"ACEL2",NA,"ACEL2","Acarospora elevata","cracked lichen","Lichenous","NA(N)"
"ACFU2",NA,"ACFU2","Acarospora fuscata","cracked lichen","Lichenous","NA(N)"
"ACFU2","ACCA19","ACCA19","Acarospora cartilaginea",NA,NA,NA
"ACFU2","ACSQ2","ACSQ2","Acarospora squamulosa",NA,NA,NA
"ACFU3",NA,"ACFU3","Acarospora fuscescens","cracked lichen","Lichenous","NA(N)"
"ACGA2",NA,"ACGA2","Acarospora gallica","Gallic cracked lichen","Lichenous","NA(N)"
"ACGE4",NA,"ACGE4","Acarospora geogena","cracked lichen","Lichenous","NA(N)"
"ACGE4","ACGE6","ACGE6","Acarospora geophila",NA,NA,NA
"ACGL2",NA,"ACGL2","Acarospora glaucocarpa","cracked lichen","Lichenous","NA(N)"
"ACHA3",NA,"ACHA3","Acarospora hassei","Hasse's cracked lichen","Lichenous","NA(N)"
"ACHE6",NA,"ACHE6","Acarospora heppii","Hepp's cracked lichen","Lichenous","NA(N)"
"ACHE7",NA,"ACHE7","Acarospora heufleriana","Heufler's cracked lichen","Lichenous","NA(N)"
"ACHI6",NA,"ACHI6","Acarospora hilaris","cracked lichen","Lichenous","NA(N)"
"ACIM2",NA,"ACIM2","Acarospora immersa","water cracked lichen","Lichenous","NA(N)"
"ACIM3",NA,"ACIM3","Acarospora impressula","cracked lichen","Lichenous","NA(N)"
"ACIN5",NA,"ACIN5","Acarospora instrata","cracked lichen","Lichenous","NA(N)"
"ACIN6",NA,"ACIN6","Acarospora interjecta","cracked lichen","Lichenous","NA(N)"
"ACIN7",NA,"ACIN7","Acarospora interposita","cracked lichen","Lichenous","NA(N)"
"ACIN8",NA,"ACIN8","Acarospora interspersa","cracked lichen","Lichenous","NA(N)"
"ACMA10",NA,"ACMA10","Acarospora macrospora","big spore cracked lichen","Lichenous","NA(N)"
"ACMA10","ACSQ","ACSQ","Acarospora squamulosa",NA,NA,NA
"ACMO6",NA,"ACMO6","Acarospora molybdina","molybdenum cracked lichen","Lichenous","NA(N)"
"ACNE7",NA,"ACNE7","Acarospora nevadensis","Nevada cracked lichen","Lichenous","NA(N)"
"ACNI6",NA,"ACNI6","Acarospora nigromarginata","darkmargin cracked lichen","Lichenous","NA(N)"
"ACNI7",NA,"ACNI7","Acarospora nitida","cracked lichen","Lichenous","NA(N)"
"ACNO6",NA,"ACNO6","Acarospora nodulosa","nodule cracked lichen","Lichenous","NA(N)"
"ACOB4",NA,"ACOB4","Acarospora obnubila","cracked lichen","Lichenous","NA(N)"
"ACOB5",NA,"ACOB5","Acarospora obpallens","cracked lichen","Lichenous","NA(N)"
"ACOL",NA,"ACOL","Acarospora oligospora","cracked lichen","Lichenous","NA(N)"
"ACOL","ACGL3","ACGL3","Acarospora glebosa",NA,NA,NA
"ACPA7",NA,"ACPA7","Acarospora particularis","particular cracked lichen","Lichenous","NA(N)"
